Part	Value	Device	Package	Description	COLOR	MF	MPN	OC_FARNELL	OC_NEWARK	USE_DEVICE
JP1		PINHD-2X6	2X06	PIN HEADER						
JP3		PINHD-1X6	1X06	PIN HEADER						
KILL_SW		PINHD-1X2	1X02	PIN HEADER						
KILL_SW_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
MC_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
OK1	MOC3031S	MOC3031S	DIL6-SMD	6-Pin DIP Zero-Cross Optoisolators Triac Driver Output (250/400 Volt Peak)		FAIRCHILD SEMICONDUCTOR	MOC3031SM	unknown	34C1335	
PWR		W237-4	W237-4	WAGO SCREW CLAMP				unknown	unknown	
PWR_SW_LED		PINHD-1X2	1X02	PIN HEADER						
R1	470	R-EU_M0805	M0805	RESISTOR, European symbol						
R2	200	R-EU_M0805	M0805	RESISTOR, European symbol						
R4	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
R5	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
R6	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
R7	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
R8	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
R9	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
R10	1k	R-EU_M0805	M0805	RESISTOR, European symbol						
RES1		PINHD-1X2	1X02	PIN HEADER						
RES1_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
RES2		PINHD-1X2	1X02	PIN HEADER						
RES2_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
RES3		PINHD-1X2	1X02	PIN HEADER						
RES3_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
T1_THT	BTA16	BTA17	TO220BV	THT						BTA_16
THERMISTOR_10K		PINHD-1X2	1X02	PIN HEADER						
THERM_IGBT		PINHD-1X2	1X02	PIN HEADER						
THERM_POT		PINHD-1X2	1X02	PIN HEADER						
THRM_IGBT_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
THRM_POT_OK	LG_T679-E1F1-1	LG_T679-E1F1-1	PLCC2	LC TOPLED® Low Current LED	green					
